Feature,Importance
zero_neu,0.0011278175519745433
Length,0.004389055701218042
Width,0.0020783479861909873
Height,0.010392447658803696
Radius_1,0.002644564806657695
ODI,0.019315864595773197
HOMO energy,0.25317060877676406
unsat,0.00552417570235682
double,0.04565972751791937
triple,0.0014629145857734652
ring_num,0.0030694118836052725
SpMax_A,0.004452483474368085
SpMAD_A,0.00952981109010974
VR1_A,0.0011109086301712967
nSpiro,0.0015229097316094625
nBridgehead,0.0006916609440208095
AATS7dv,0.015274498713524626
AATS8dv,0.004152215261546551
AATS7d,0.004832975436972989
AATS8d,0.005069520972405514
AATS0s,0.005067691013013826
AATS4s,0.007797639525107794
AATS5s,0.007061333352009613
AATS6s,0.01741215853136227
AATS7s,0.010540165017690882
AATS8s,0.0027329029063154968
ATSC1dv,0.00648356383607531
ATSC2dv,0.005763457564700116
ATSC3dv,0.004516449100438775
ATSC4dv,0.010351564325846774
ATSC5dv,0.008863309014185392
ATSC6dv,0.004987978124616742
ATSC7dv,0.003170046797057829
ATSC8dv,0.0063098114485911315
ATSC1d,0.0076167785833544015
ATSC2d,0.004211180832157879
ATSC3d,0.003807471825578991
ATSC4d,0.002221827042941742
ATSC7d,0.006253350518793139
ATSC0s,0.0024999916452526968
ATSC1s,0.002505198851471726
ATSC2s,0.0029930649243273782
ATSC3s,0.0006583073272467349
ATSC4s,0.0033697591336857716
ATSC5s,0.0012728199611482447
ATSC6s,0.006671149621293336
ATSC7s,0.006383624801154761
ATSC8s,0.001490494642919531
ATSC2Z,0.0009033876610035302
ATSC3Z,0.009308029485300339
ATSC4Z,0.005377741513710584
ATSC5Z,0.013628865832669066
ATSC6Z,0.0054363267798013355
ATSC7Z,0.003239881340195507
ATSC8Z,0.0026224465055112163
AATSC1dv,0.0018547199252338942
AATSC2dv,0.014683389971303286
AATSC3dv,0.0035730517617162012
AATSC4dv,0.0014344780018660857
AATSC5dv,0.006783843233836662
AATSC6dv,0.0007050397289764552
AATSC7dv,0.004604742475616072
AATSC8dv,0.0006543947650418678
AATSC0d,0.003414653567506175
AATSC1d,0.007275277808526176
AATSC5d,0.0014850687819771941
AATSC0s,0.00972732429618711
AATSC5s,0.0019946793391975013
AATSC6s,0.0033683981347699984
AATSC7s,0.0025124707548828747
AATSC8s,0.002577607314386714
AATSC0Z,0.004284788443128601
AATSC1Z,0.0036039734384385484
AATSC2Z,0.00627730391849023
AATSC3Z,0.0013958082864904274
AATSC4Z,0.00940281559268187
AATSC5Z,0.0032162576503863816
AATSC6Z,0.001480868256230651
AATSC7Z,0.00889075914298142
