Feature,Importance
SpMax_A,0.0017201802034049146
SpMAD_A,0.0022578031842489235
VR1_A,4.1945964531478733e-05
nSpiro,0.0008943042738978274
nBridgehead,0.0007453790776000845
AATS7dv,0.013077769250570252
AATS8dv,0.0014684682228903307
AATS7d,0.0071625858353306215
AATS8d,0.003969931776197354
AATS0s,0.003233808851229456
AATS4s,0.007805935568582827
AATS5s,0.0047890591908119765
AATS6s,0.0125874034937781
AATS7s,0.010382403939351852
AATS8s,0.002995582599668364
ATSC1dv,0.014226064198245568
ATSC2dv,0.009631454139275446
ATSC3dv,0.0026292769593618285
ATSC4dv,0.014195209889855585
ATSC5dv,0.013067876900200196
ATSC6dv,0.004311712335867833
ATSC7dv,0.0018712513626880603
ATSC8dv,0.0011694106161745904
ATSC1d,0.008121221633712284
ATSC2d,0.003273924392930177
ATSC3d,0.0056210177319162445
ATSC4d,0.002635923013092838
ATSC7d,0.0030473546741487637
ATSC0s,0.0021315687552235113
ATSC1s,0.00489768567785891
ATSC2s,0.008596672953314507
ATSC3s,0.004580370356843379
ATSC4s,0.0029739680037621976
ATSC5s,0.0032491163729214323
ATSC6s,0.0036818070832443472
ATSC7s,0.0016265142281158237
ATSC8s,0.0029086368448959345
ATSC2Z,0.004249591616982607
ATSC3Z,0.008883588449849092
ATSC4Z,0.0021547605762948317
ATSC5Z,0.007792981590250624
ATSC6Z,0.005435675208640792
ATSC7Z,0.0020440837275521955
ATSC8Z,0.0009906520367496446
AATSC1dv,0.011137619967806815
AATSC2dv,0.016523777106684564
AATSC3dv,0.006287041391053089
AATSC4dv,0.0013471926417118203
AATSC5dv,0.008731599021177216
AATSC6dv,0.0032692256070869
AATSC7dv,0.0031970755936426456
AATSC8dv,0.0019845985486666713
AATSC0d,0.0015158028833348754
AATSC1d,0.010655753791122734
AATSC5d,0.0020864441009536445
AATSC0s,0.010291177701176189
AATSC5s,0.0011075057391206483
AATSC6s,0.0006404255336752504
AATSC7s,0.0024453686163116643
AATSC8s,0.001167492382808342
AATSC0Z,0.005642666240468543
AATSC1Z,0.0013172641020468665
AATSC2Z,0.011096054512453378
AATSC3Z,0.000761182556930916
AATSC4Z,0.005742814065210432
AATSC5Z,0.0024922604556905517
AATSC6Z,0.0005505182921810019
AATSC7Z,0.009523351049857109
AATSC8Z,0.00124149043718757
MATS1c,0.01709057595276489
MATS2c,0.016240992414091132
MATS3c,0.013570423352823676
MATS4c,0.010924529583828098
MATS8c,0.002972561606573242
MATS1dv,0.019206866657296692
MATS1d,0.0054546375775347275
MATS2d,0.0029151631834429407
MATS3d,0.002854369780321296
MATS4d,0.008136757660512106
MATS6d,0.0011510302736688477
MATS7d,0.004661204558887861
MATS8d,0.002714631034413983
MATS1s,0.0012460801844824526
MATS3s,0.001419839372608095
MATS4s,0.0026513235204829685
GATS1c,0.012676703597011424
GATS2c,0.004004235528553664
GATS5c,0.013406835374760976
GATS6c,0.00543131886980431
GATS7c,0.004151414546382186
GATS8c,0.0035714193739432624
GATS2dv,0.008885988657391798
GATS3dv,0.017299235506965147
GATS4dv,0.02034716993688843
GATS5dv,0.010238572613472363
GATS6dv,0.0011293178231441701
GATS8dv,0.0007734478718793692
GATS1d,0.012096237320544078
GATS3d,0.005638394850437108
GATS4d,0.003064210379803548
GATS1s,0.0017451928054011186
GATS2s,0.006173013303763522
BCUTdv-1h,0.019651987029502258
BCUTdv-1l,0.008625249330175007
BCUTd-1h,0.002808276900577075
BCUTd-1l,0.0055309892286821045
BCUTs-1h,0.002680033113058845
BCUTs-1l,0.019868675121875116
BCUTZ-1l,0.0013357704263266019
BCUTm-1l,0.00037969863938098965
BalabanJ,0.005813276705301549
C1SP1,0.0053258574788566425
C1SP2,0.005347254741633779
C1SP3,0.012955831811564619
C2SP3,0.004163828349892668
C3SP3,0.023856570777882422
C4SP3,0.008006731069488468
HybRatio,0.02827602863675513
Xch-4d,0.01583264950514648
Xch-5d,0.014227198508313279
Xch-6d,0.015065459577438232
Xch-7d,0.00216832604340522
Xc-3d,0.0009533154751993006
Xc-5d,0.01356302717772163
Xpc-4dv,0.0017136757353993948
NdsCH,0.10839460518886461
NddC,0.0032149555607257616
NdssC,0.05489386695775643
NaasC,0.01620201952460729
NaaaC,0.011447407521651031
SssssC,0.0057731596468936245
MAXsCH3,0.003119661295114954
MAXssCH2,0.000999536361823416
MINsCH3,0.007127144023547895
MINssCH2,0.012868073804896555
ETA_shape_p,0.006014661522548544
ETA_shape_y,0.01734339486422788
AETA_eta,0.009316709508982522
ETA_eta_B,0.001336671576114619
IC1,0.022224808442451487
IC2,0.02693744305247903
IC3,0.0107849960154984
TIC1,0.014173234195157907
SIC1,0.005560028252058861
SIC2,0.013496487905326428
SIC3,0.0005196700955682786
MIC0,0.00222054630514394
MIC2,0.018316816163614927
Kier1,0.0007033221956485406
Kier3,0.000903342166564263
PEOE_VSA5,0.016933531230517662
PEOE_VSA7,0.022110721585265062
PEOE_VSA8,0.0020543712906386656
PEOE_VSA9,0.0005353123716036175
SMR_VSA4,0.0031551641826920757
SMR_VSA9,0.0014301774040284309
SlogP_VSA1,0.000412265640130552
SlogP_VSA2,0.0006621145609756035
SlogP_VSA3,0.005630502543074481
SlogP_VSA4,0.009553678893607982
SlogP_VSA7,0.00012140832646274358
EState_VSA2,0.006389250725261012
EState_VSA3,0.010943728846255319
EState_VSA4,0.008975310636571462
EState_VSA5,0.005853538684446314
EState_VSA6,0.0021185129758016464
EState_VSA7,0.008848055202689083
EState_VSA8,0.00891101397971823
EState_VSA9,0.0030461125011925516
VSA_EState4,0.012893877345931523
VSA_EState5,0.0029845832812000054
VSA_EState7,0.03473607910915458
VSA_EState8,0.007306961829817244
MDEC-11,0.00655791634843579
MDEC-12,0.004189690584564112
MDEC-13,0.008333900229087834
MDEC-22,0.007485450286731559
MDEC-33,0.005772799764811105
AMID,0.007949944930476516
MID_h,0.0011340349370406967
AMID_C,0.007492166018112455
n3Ring,0.003817938174294547
n4Ring,0.00015687341504369722
n5Ring,0.011127382593067737
n7Ring,0.0030483580619655886
n8Ring,0.0016538430532707057
n5aRing,0.0013575758034520013
nARing,0.008355272494072927
n6ARing,0.010356997828139076
n8ARing,0.002413260428119993
nFRing,0.010099017336437475
n7FRing,0.007288491976098789
n8FRing,0.003025125253599922
n9FRing,0.004900213750121377
n10FRing,0.0005739702453612626
nG12FRing,0.004729333087472687
nFaRing,0.005616788872844787
n10FaRing,0.0013359464880718579
nG12FaRing,0.005787197864133608
nFARing,0.0026355159400689044
n10FARing,0.0018342879258102954
nG12FARing,0.0018547739741282122
RotRatio,0.002225413551747093
GGI1,0.0020293356935291765
GGI2,0.010395541892083146
GGI3,0.001591758434962223
GGI4,0.015180278505604506
GGI5,0.004625902348792704
GGI6,0.0003862295330842576
JGI1,0.004834817245362922
TopoShapeIndex,0.009701393943338505
SRW05,0.0037239582107211236
TSRW10,0.006023610138328966
mZagreb1,0.012015142908293247
