Feature,Importance
zero_neu,0.0023297028532604748
Length,0.0050008367175598915
Width,0.007335896586244373
Height,0.008316247580208814
Radius_1,0.009585631464472319
ODI,0.015714631857517692
HOMO energy,0.2955292344659138
unsat,0.0082505513135139
double,0.02838595115568444
triple,0.001539497114975687
ring_num,0.001050609733250763
SpMax_A,0.002186639152141761
SpMAD_A,0.020158606513054525
VR1_A,0.00138203247145321
nSpiro,0.004730629439448871
nBridgehead,0.0008681203642876185
AATS7dv,0.01721942819777033
AATS8dv,0.002418001247321287
AATS7d,0.007187196903631168
AATS8d,0.0022155112773668724
AATS0s,0.015864213335217175
AATS4s,0.0015573479886754
AATS5s,0.005938710530231164
AATS6s,0.012802655007468926
AATS7s,0.0006906191653442478
AATS8s,0.005376623953605917
ATSC1dv,0.002089009846403895
ATSC2dv,0.002873112962174947
ATSC3dv,0.013925158295345606
ATSC4dv,0.011375780247567628
ATSC5dv,0.005360953708704764
ATSC6dv,0.0012200408467195477
ATSC7dv,0.006774226262458829
ATSC8dv,0.0011286036411018287
ATSC1d,0.003246800858275481
ATSC2d,0.00031605848566704735
ATSC3d,0.001934831937648092
ATSC4d,0.003362995305839622
ATSC7d,0.0002946833155309619
ATSC0s,0.0062179259657849555
ATSC1s,0.006100079278837711
ATSC2s,0.0065043296840376135
ATSC3s,0.005942404082491587
ATSC4s,0.0022041813315566683
ATSC5s,0.0065936088872183655
ATSC6s,0.0022651260786366117
ATSC7s,0.0030431719264870263
ATSC8s,0.004995096348805868
ATSC2Z,0.0011282330096296063
ATSC3Z,0.000980408052048707
ATSC4Z,0.0023548236733598837
ATSC5Z,0.002361102517999047
ATSC6Z,0.01060072651178605
ATSC7Z,0.0005781149640800223
ATSC8Z,0.006898712558166657
AATSC1dv,0.014287658815707132
AATSC2dv,0.01681030267733938
AATSC3dv,0.007149265137305597
AATSC4dv,0.006200456955450289
AATSC5dv,0.007644303160951352
AATSC6dv,0.006933700583116995
AATSC7dv,0.002835830387851614
AATSC8dv,0.0004486679226295246
AATSC0d,0.0007658752956630512
AATSC1d,0.000777156463256855
AATSC5d,0.00719686376334484
AATSC0s,0.013067196324694792
AATSC5s,0.002467748537659952
AATSC6s,0.007897913021049342
AATSC7s,0.0010042375018798223
AATSC8s,0.0004209396220751361
AATSC0Z,0.014030765807174576
AATSC1Z,0.005447101817245279
AATSC2Z,0.00316771473788675
AATSC3Z,0.007127374710466664
AATSC4Z,0.00818963378540787
AATSC5Z,0.0019189990870464467
AATSC6Z,0.00028997781238461424
AATSC7Z,0.010167571811408893
AATSC8Z,0.0015069058053310972
MATS1c,0.01040179050039432
MATS2c,0.013869268028341698
MATS3c,0.00261920581037857
MATS4c,0.00724072282541619
MATS8c,0.0006516097466996587
MATS1dv,0.0018397300503078255
MATS1d,0.0028676719912364645
MATS2d,0.0030875208911976346
MATS3d,0.0015520181250261124
MATS4d,0.010766143143901976
MATS6d,0.006244390125339781
MATS7d,0.004891871369532548
MATS8d,0.001315957538174671
MATS1s,0.004256091379465395
MATS3s,0.0024283962722290928
MATS4s,0.0006976344736943313
GATS1c,0.009857998967249731
GATS2c,0.008868075827183885
GATS5c,0.008034887734412629
GATS6c,0.023588100431792203
GATS7c,0.012995120484151537
GATS8c,0.0007014813168533786
GATS2dv,0.015444340154705074
GATS3dv,0.013777641865109293
GATS4dv,0.020438339928933787
GATS5dv,0.0019708318170203886
GATS6dv,0.0068079017683818355
GATS8dv,0.004660395746603293
GATS1d,0.008723326039119522
GATS3d,0.0015465730588524853
GATS4d,0.00037828990530872845
GATS1s,0.01196070862703935
GATS2s,0.014092498910568211
BCUTdv-1h,0.01962569525818823
BCUTdv-1l,0.009017814713788319
BCUTd-1h,0.00835372998026506
BCUTd-1l,0.008878989943235844
BCUTs-1h,0.019127158735982558
BCUTs-1l,0.0029044986690856408
BCUTZ-1l,0.0018585933950978522
BCUTm-1l,0.000551830002163045
BalabanJ,0.006156098636870548
C1SP1,0.0041865672366006345
C1SP2,0.0020270293695271485
C1SP3,0.003601166870969583
C2SP3,0.002835648277415389
C3SP3,0.012079034535023552
C4SP3,0.009099922793025308
HybRatio,0.014213719382792353
Xch-4d,0.013487109619877246
Xch-5d,0.014481904758366613
Xch-6d,0.021552544712290275
Xch-7d,0.0019425769147259065
Xc-3d,0.0004949521188934001
Xc-5d,0.014732674578259452
Xpc-4dv,0.0018001734286985718
NdsCH,0.03537304361465847
NddC,0.002253688243848934
NdssC,0.014343453003149704
NaasC,0.009193547842855823
NaaaC,0.014051522857632982
SssssC,0.0016081093753343
MAXsCH3,0.005060428379757956
MAXssCH2,0.003944347162244862
MINsCH3,0.005607059005105346
MINssCH2,0.007291683695202445
ETA_shape_p,0.002618522230729567
ETA_shape_y,0.009640474416553033
AETA_eta,0.010910105007383208
ETA_eta_B,0.0017501221787223453
IC1,0.014413720585006482
IC2,0.0024327046345572383
IC3,0.003138881512524611
TIC1,0.006783024054458515
SIC1,0.004793746411639304
SIC2,0.0077673095032883815
SIC3,0.0014111721965658019
MIC0,0.003640768441851307
MIC2,0.011596559119814366
Kier1,0.005460016806722136
Kier3,0.0013528362354581548
PEOE_VSA5,0.009581756586607277
PEOE_VSA7,0.019030409561074487
PEOE_VSA8,0.0053183069955473426
PEOE_VSA9,0.00026815715457003926
SMR_VSA4,0.0025310286063720553
SMR_VSA9,0.006967345891514771
SlogP_VSA1,0.0007607633999586722
SlogP_VSA2,0.0001377763253321425
SlogP_VSA3,0.009015654382739127
SlogP_VSA4,0.007966039225063568
SlogP_VSA7,2.4819595637382008e-05
EState_VSA2,0.0008804240409632717
EState_VSA3,0.0035190025455997245
EState_VSA4,0.002602435757021833
EState_VSA5,0.003362496450462053
EState_VSA6,0.001865946581862104
EState_VSA7,0.012722227172589445
EState_VSA8,0.0027536216939552105
EState_VSA9,9.618368836987451e-05
VSA_EState4,0.004355275203206803
VSA_EState5,0.006211434608136428
VSA_EState7,0.011006636953382725
VSA_EState8,0.0009143102551037378
MDEC-11,0.000722465952532664
MDEC-12,0.001583465926410647
MDEC-13,0.0027663157060411015
MDEC-22,0.003824252611530343
MDEC-33,0.0036016305164002366
AMID,0.007945578865015918
MID_h,0.0005710835344893072
AMID_C,0.009940705140327582
n3Ring,0.005911780878584495
n4Ring,0.0016367466285220258
n5Ring,0.006611565958304578
n7Ring,0.006629862387437396
n8Ring,0.002858909556862382
n5aRing,0.0007148402666468636
nARing,0.007661019411240985
n6ARing,0.00205251842289069
n8ARing,0.0031821412472292803
nFRing,0.007217647482890703
n7FRing,0.005365677187724196
n8FRing,0.0039406542111179756
n9FRing,0.002895266305569683
n10FRing,0.004278914279028134
nG12FRing,0.003331437747710222
nFaRing,0.003732774914761287
n10FaRing,0.0035191591820645943
nG12FaRing,0.0036265868958329827
nFARing,0.006399235596280007
n10FARing,0.001121813101115067
nG12FARing,0.006602766657814787
RotRatio,0.010617778395466172
GGI1,0.009103115274590519
GGI2,0.0034927152964280457
GGI3,0.0050456402276426796
GGI4,0.014536891390078776
GGI5,0.0012169776707664879
GGI6,0.009515007186537222
JGI1,0.0026576790558750195
TopoShapeIndex,0.006148103958925693
SRW05,0.003174084544122915
TSRW10,0.0016738847356976524
mZagreb1,0.0015719767739180994
