Feature,Importance
zero_neu,0.0030284443643868566
Length,0.007820788159365235
Width,0.005821309062724051
Height,0.005513314702388416
Radius_1,0.0015778642989695668
ODI,0.004798161169628029
HOMO energy,0.35492148922872124
unsat,0.009776462656873675
double,0.02476510009686269
triple,0.0032385092528741536
ring_num,0.0004953914708486043
SpMax_A,0.008400651332555818
SpMAD_A,0.011457722932874862
VR1_A,0.001492715915146602
nSpiro,0.0037567271097040285
nBridgehead,0.0008193206190076923
AATS7dv,0.022980644653164368
AATS8dv,0.004995322454677698
AATS7d,0.0071891411814617185
AATS8d,0.0025420593070314733
AATS0s,0.022318389198416107
AATS4s,0.010734323846160332
AATS5s,0.0009179244131592578
AATS6s,0.012541966716015462
AATS7s,0.006716443039317175
AATS8s,0.004921738933820481
ATSC1dv,0.0020354331943305943
ATSC2dv,0.004317891133657966
ATSC3dv,0.010812838839434165
ATSC4dv,0.011976079132141644
ATSC5dv,0.0056332532188850615
ATSC6dv,0.002460181369789888
ATSC7dv,0.0024896669980610424
ATSC8dv,0.0016103805229832218
ATSC1d,0.0048845528340600705
ATSC2d,0.002148521782831314
ATSC3d,0.003212171334912459
ATSC4d,0.00917309183767217
ATSC7d,0.0011934977348661523
ATSC0s,0.0075922120734620326
ATSC1s,0.009770969913063357
ATSC2s,0.01155402776311501
ATSC3s,0.0024086509380662467
ATSC4s,0.007187267745763958
ATSC5s,0.004932746636094827
ATSC6s,0.001205910366571963
ATSC7s,0.004587404941270387
ATSC8s,0.0006687374758454441
ATSC2Z,0.0017109795025197854
ATSC3Z,0.004515142305961401
ATSC4Z,0.010268127245456955
ATSC5Z,0.010635938816395926
ATSC6Z,0.005094260503161133
ATSC7Z,0.0016120862644936696
ATSC8Z,0.0006388136692125736
AATSC1dv,0.013696074417731172
AATSC2dv,0.01768833150783431
AATSC3dv,0.017642052464181348
AATSC4dv,0.0021489811753728355
AATSC5dv,0.004131369798243241
AATSC6dv,0.001235227698469731
AATSC7dv,0.0013750613559797363
AATSC8dv,0.003430920438151562
AATSC0d,0.008364782902511993
AATSC1d,0.004286478787495485
AATSC5d,0.011828080852971528
AATSC0s,0.01767262151778438
AATSC5s,0.004573091462376184
AATSC6s,0.003976826910437943
AATSC7s,0.00104804686075298
AATSC8s,0.0013969813466222344
AATSC0Z,0.0028948574875293596
AATSC1Z,0.005534624180006651
AATSC2Z,0.0027327309836014785
AATSC3Z,0.008747899095486494
AATSC4Z,0.007980690409604209
AATSC5Z,0.002231904732383546
AATSC6Z,0.006245737291296599
AATSC7Z,0.0018877265936567006
AATSC8Z,0.00028114091274706075
MATS1c,0.004299031765709828
MATS2c,0.007228914497031336
MATS3c,0.0019102085235578425
MATS4c,0.004729723144541813
MATS8c,0.004413636820346477
MATS1dv,0.004083777278140904
MATS1d,0.01882738643404007
MATS2d,0.010399664470372737
MATS3d,0.007517311032106623
MATS4d,0.010559884619436936
MATS6d,0.006458156645694917
MATS7d,0.004568326530480141
MATS8d,0.003785246367416693
MATS1s,0.014042230972363392
MATS3s,0.007015390402025443
MATS4s,0.011289360686754775
GATS1c,0.014749836180698191
GATS2c,0.01864891690197518
GATS5c,0.0055690540737085735
GATS6c,0.006009966726030059
GATS7c,0.02404443482972263
GATS8c,0.002140105854713121
GATS2dv,0.022830322062792577
